1195, DataB 4519
561, DataB 4377
723, DataB 4612
1100, DataB 3300
3032, DataB 4014
654, DataB 4864
276, DataB 3477
3343, DataB 3956
3144, DataB 4216
3456, DataB 4156
2806, DataB 390
2145, DataB 4190
1768, DataB 2154
1993, DataB 625
2281, DataB 4883
3248, DataB 894
529, DataB 332
619, DataB 551
84, DataB 1262
2617, DataB 1752
2114, DataB 4050
450, DataB 969
376, DataB 1805
711, DataB 4449
1133, DataB 4851
846, DataB 562
3195, DataB 4401
685, DataB 4918
262, DataB 3138
3186, DataB 3155
159, DataB 608
3101, DataB 4555
2495, DataB 4815
910, DataB 1785
3418, DataB 4198
872, DataB 2970
1541, DataB 128
2733, DataB 3580
671, DataB 2046
767, DataB 3514
1817, DataB 4709
2201, DataB 2334
100, DataB 4570
35, DataB 1549
1441, DataB 2588
21, DataB 2877
2440, DataB 4034
661, DataB 3225
2576, DataB 1248
2697, DataB 518
780, DataB 127
861, DataB 183
156, DataB 3140
2058, DataB 2673
455, DataB 3436
2074, DataB 4992
2632, DataB 3327
2003, DataB 3070
1410, DataB 617
1657, DataB 1624
2833, DataB 4597
3187, DataB 4194
3387, DataB 1995
2868, DataB 3933
1349, DataB 3882
1969, DataB 3592
3474, DataB 774
350, DataB 2148
3019, DataB 106
706, DataB 2714
1735, DataB 3337
1563, DataB 2561
3227, DataB 1405
2066, DataB 2551
956, DataB 4286
1065, DataB 2716
85, DataB 24
1943, DataB 2531
2535, DataB 2585
952, DataB 264
1351, DataB 1721
2690, DataB 4126
403, DataB 4688
3004, DataB 1448
2890, DataB 271
971, DataB 3515
1916, DataB 805
1352, DataB 2786
1888, DataB 94
1299, DataB 1307
401, DataB 14
1577, DataB 3871
2234, DataB 3429
635, DataB 4404
1926, DataB 4102
73, DataB 2606
719, DataB 3581
3153, DataB 2857
3020, DataB 3407
2563, DataB 258
2606, DataB 68
1489, DataB 2702
3023, DataB 752
2655, DataB 2659
337, DataB 3060
2469, DataB 3906
2508, DataB 2460
1556, DataB 4856
3295, DataB 944
246, DataB 3841
3104, DataB 1075
3336, DataB 4972
965, DataB 3819
1831, DataB 3531
2313, DataB 2817
3183, DataB 2526
1715, DataB 4152
225, DataB 4620
1475, DataB 2026
1901, DataB 1573
2519, DataB 1442
2838, DataB 3057
3256, DataB 2906
142, DataB 3586
1058, DataB 2294
1930, DataB 1329
1557, DataB 3628
2971, DataB 2935
1361, DataB 4739
2, DataB 3415
521, DataB 2909
2188, DataB 506
2166, DataB 1393
38, DataB 132
1034, DataB 1518
2850, DataB 1394
1310, DataB 4884
2906, DataB 4820
1749, DataB 1994
1565, DataB 2936
800, DataB 739
337, DataB 3542
3427, DataB 628
3356, DataB 574
322, DataB 4329
1542, DataB 4735
58, DataB 70
1601, DataB 4371
808, DataB 1854
834, DataB 59
1837, DataB 2556
165, DataB 2587
1243, DataB 493
1487, DataB 1811
2773, DataB 150
1904, DataB 1281
625, DataB 4364
2885, DataB 2603
1917, DataB 2247
1721, DataB 4962
2237, DataB 751
938, DataB 597
612, DataB 1080
